name	Value	id
Argentina	0.5134930771	32
Australia	0.3068048854	36
Brazil	0.2855248558	76
Canada	0.2493117583	124
Colombia	0.4716373625	170
Denmark	0.4487447482	208
Finland	0.6744561224	246
France	0.373440431	250
China	0.6417153968	156
Ireland	0.5294835778	372
Israel	0.5253059454	376
Mexico	0.3570026074	484
'New Zealand'	0.5932923712	554
'Norway'	0.4716373625	578
'South Africa'	0.5476121124	710
Sweden	0.4291610835	752
Turkey	0.2634960815	792
'United Kingdom'	0.1852338621	826
'United States'	0	840

